user_id,email,creation_date,last_activity_date,firstname,lastname,address,canal,country,gender,age_group,churn,order_count,total_amount,total_item,last_transaction,platform,event_count,session_count,last_event,days_since_creation,days_since_last_activity,days_last_event
abbdf2ee-cedd-4176-853e-3e0b99b450c7,33cc7abf40895d004ff14849ed3a446adcfd87ad,2022-01-13 00:00:00,2023-06-07 22:45:56,Kyle,Parker,"22334 Stacey Valley Suite 296
Jasonland, WI 99608",WEBAPP,FR,1,10,1,6,344,11,2023-06-09 03:01:10,android,6,6,2023-06-02 17:35:37,739,229,234
a1d9c981-cb76-4c91-bd6a-8da26ccff2ab,67140dc307481c1184eafe2d89a02e49a4d0b20e,2015-03-25 00:00:00,2023-06-03 21:06:16,Matthew,Cook,"937 Mcintyre Heights Suite 968
Lake Christopherbury, TX 40399",WEBAPP,SPAIN,1,5,1,2,104,4,2023-06-02 04:58:29,android,2,2,2023-06-09 01:44:50,3225,233,227
66db6742-5460-4f0e-a503-1652d9d40296,95ea0551c48706b6bdc2004478bbd0a33492c642,2022-03-16 00:00:00,2023-06-08 09:01:25,Lee,Edwards,"846 Smith Ridges Apt. 149
South Elizabeth, MD 93813",WEBAPP,USA,1,6,0,4,310,11,2023-06-06 14:43:31,other,4,3,2023-06-02 10:55:34,677,228,234
194bfcef-5a12-448e-af92-576b76392933,ea2fa260e87ca3d080afebdd53984429e993f60a,2021-12-25 00:00:00,2023-06-06 19:14:42,Rhonda,Gaines,"05732 Robert Fields Apt. 789
Port Kaylafort, AR 35664",PHONE,SPAIN,0,8,1,5,253,10,2023-06-07 13:31:29,ios,5,4,2023-06-03 11:45:48,758,230,233
df13bf73-1976-4495-b0cf-a2dfac5231d6,4c9d435c969c93c532eb0a752c0a05b568520b45,2021-09-06 00:00:00,2023-06-05 02:12:09,Todd,Tucker,"2998 Scott Overpass
East Williamville, GA 19474",WEBAPP,SPAIN,1,0,1,5,235,9,2023-06-07 07:59:35,other,5,5,2023-06-08 22:33:12,868,231,228
e854931d-d210-4693-8190-3d2e4c580596,98ab65890d5087d383ca4fa91f22a2d5a24a4c31,2021-07-29 00:00:00,2023-06-06 16:34:34,Ernest,Moore,"127 Webb Drive
Elizabethbury, CT 65649",WEBAPP,FR,1,2,1,3,132,5,2023-06-06 14:42:19,ios,3,3,2023-06-09 07:44:39,907,230,227
64817960-6409-4149-bb0b-bd9f81020a5b,fb87b78b9f0a7fe141cbc305f97e7b0f1e5f651d,2021-12-31 00:00:00,2023-06-02 08:41:10,Patricia,Mcclain,"9889 Decker Village
West Maryfort, AS 89347",PHONE,USA,1,2,1,3,255,8,2023-06-06 14:33:52,ios,3,3,2023-06-04 14:13:05,752,234,232
6a7e3819-c475-42aa-906d-5dfdfd3f6706,95ea0551c48706b6bdc2004478bbd0a33492c642,2022-02-14 00:00:00,2023-06-08 09:01:25,Lee,Edwards,"846 Smith Ridges Apt. 149
South Elizabeth, MD 93813",WEBAPP,FR,1,8,0,2,92,4,2023-06-07 02:29:02,other,3,2,2023-06-02 14:34:54,707,228,234
e8c05952-8898-42af-9f25-5931f11520ca,df52b442625df2e109d1ca2a894efe6dfe82115e,2022-03-02 00:00:00,2023-06-06 00:50:01,David,Anderson,"66475 Norma Island Apt. 113
Jessicahaven, MH 19301",WEBAPP,USA,1,5,1,3,205,7,2023-06-09 03:35:48,ios,3,3,2023-06-08 16:47:39,691,230,228
e1162688-b147-49b1-a514-ca258df869b4,997c024f7a5c5a5dd2a509dc584b7aadba0e29f3,2022-04-11 00:00:00,2023-06-08 16:27:48,David,Martinez,"533 Quinn Shoal
Moorechester, SD 41317",WEBAPP,USA,1,8,0,3,188,6,2023-06-09 00:51:46,other,3,2,2023-06-07 16:38:39,651,228,229
